grupo_discografica,genero,num_tracks
"Independent / Other",indie,2088
"Independent / Other",latin,1789
"Independent / Other",pop,1645
"Independent / Other",hip-hop,1558
"Warner Music Group",hip-hop,583
"Sony Music",latin,373
"Warner Music Group",pop,201
"Warner Music Group",latin,176
"Warner Music Group",indie,173
"Universal Music Group",latin,153
"Universal Music Group",indie,144
"Universal Music Group",pop,143
"Sony Music",pop,109
"Sony Music",indie,78
"Universal Music Group",hip-hop,27
"Sony Music",hip-hop,3
