año,mes,genero,festival,media_popularidad,media_oyentes,media_reproducciones
2020,1,hip-hop,"No Festival",0.00,2926,14002
2020,2,hip-hop,"No Festival",0.00,76,279
2020,3,hip-hop,Lollapalooza,0.00,501,1855
2020,4,hip-hop,Coachella,0.00,2454,9044
2020,5,hip-hop,"No Festival",0.00,244,756
2020,6,hip-hop,"Primavera Sound",0.00,548,2505
2020,7,hip-hop,"No Festival",0.00,39,102
2020,8,hip-hop,"No Festival",0.00,421,963
2020,9,hip-hop,"No Festival",0.00,217,638
2020,10,hip-hop,"No Festival",0.00,6598,30243
2020,11,hip-hop,"No Festival",0.00,9116,33341
2020,12,hip-hop,"Red Bull Batalla",0.00,271,860
2021,1,hip-hop,"No Festival",0.00,395,1410
2021,2,hip-hop,"No Festival",0.00,761,2855
2021,3,hip-hop,Lollapalooza,0.00,1878,8979
2021,4,hip-hop,Coachella,0.00,16987,138895
2021,5,hip-hop,"No Festival",0.00,388,1672
2021,6,hip-hop,"Primavera Sound",0.00,74543,623677
2021,7,hip-hop,"No Festival",0.00,87299,658855
2021,8,hip-hop,"No Festival",0.00,51063,453409
2021,9,hip-hop,"No Festival",0.00,20999,176531
2021,10,hip-hop,"No Festival",0.00,153,356
2021,11,hip-hop,"No Festival",0.00,3409,10389
2021,12,hip-hop,"Red Bull Batalla",0.00,188897,1902629
2022,1,hip-hop,"No Festival",0.00,90931,817450
2022,2,hip-hop,"No Festival",0.02,80143,608546
2022,3,hip-hop,Lollapalooza,0.00,50856,401076
2022,4,hip-hop,Coachella,0.00,119593,929314
2022,5,hip-hop,"No Festival",0.00,67887,517389
2022,6,hip-hop,"Primavera Sound",0.00,100024,940515
2022,7,hip-hop,"No Festival",0.00,91169,580599
2022,8,hip-hop,"No Festival",0.00,89823,682605
2022,9,hip-hop,"No Festival",0.00,77072,644849
2022,10,hip-hop,"No Festival",0.00,28394,175081
2022,11,hip-hop,"No Festival",0.00,45019,365070
2022,12,hip-hop,"Red Bull Batalla",0.00,89647,982734
2023,1,hip-hop,"No Festival",0.00,71,233
2023,2,hip-hop,"No Festival",0.00,109595,1158610
2023,3,hip-hop,Lollapalooza,0.00,181,695
2023,4,hip-hop,Coachella,0.00,96384,611585
2023,5,hip-hop,"No Festival",0.00,59852,433124
2023,6,hip-hop,"Primavera Sound",0.00,169989,1696245
2023,7,hip-hop,"No Festival",0.00,48731,429710
2023,8,hip-hop,"No Festival",0.00,202437,2109895
2023,9,hip-hop,"No Festival",0.00,182421,1823059
2023,10,hip-hop,"No Festival",0.00,333472,3879812
2023,11,hip-hop,"No Festival",0.00,50851,377919
2023,12,hip-hop,"Red Bull Batalla",0.00,43211,245449
2024,1,hip-hop,"No Festival",0.00,184146,2134809
2024,2,hip-hop,"No Festival",0.00,463778,5058418
2024,3,hip-hop,Lollapalooza,0.00,230866,1830604
2024,4,hip-hop,Coachella,0.00,367663,3602154
2024,5,hip-hop,"No Festival",0.00,383995,3757924
2024,6,hip-hop,"Primavera Sound",0.00,337782,3375250
2024,7,hip-hop,"No Festival",0.00,440330,4586334
2024,8,hip-hop,"No Festival",0.00,669460,6823361
2024,9,hip-hop,"No Festival",0.00,410918,4541515
2024,10,hip-hop,"No Festival",0.00,1331292,14290355
2020,1,indie,"No Festival",47.26,67980,502970
2020,2,indie,"No Festival",54.71,217826,2283735
2020,3,indie,Lollapalooza,50.67,107068,808729
2020,4,indie,Coachella,51.51,135209,1495375
2020,5,indie,"No Festival",51.32,219761,2722619
2020,6,indie,"Primavera Sound",50.61,83689,1278534
2020,7,indie,"No Festival",50.69,118192,1162144
2020,8,indie,"No Festival",53.97,162817,1576927
2020,9,indie,"No Festival",50.71,115513,1221370
2020,10,indie,"No Festival",52.16,136230,1369129
2020,11,indie,"No Festival",51.30,65751,446817
2020,12,indie,"Red Bull Batalla",49.81,85769,717543
2021,1,indie,"No Festival",53.34,70261,582008
2021,2,indie,"No Festival",51.48,59929,566615
2021,3,indie,Lollapalooza,52.43,75467,647131
2021,4,indie,Coachella,54.28,126846,1137202
2021,5,indie,"No Festival",51.09,58706,536866
2021,6,indie,"Primavera Sound",56.89,208003,2336485
2021,7,indie,"No Festival",53.88,208183,2642162
2021,8,indie,"No Festival",55.17,243608,2426243
2021,9,indie,"No Festival",52.03,85348,803552
2021,10,indie,"No Festival",53.69,220538,2541679
2021,11,indie,"No Festival",50.25,57317,432485
2021,12,indie,"Red Bull Batalla",52.31,105758,1000897
2022,1,indie,"No Festival",54.39,97742,850695
2022,2,indie,"No Festival",52.37,102820,945391
2022,3,indie,Lollapalooza,54.56,84842,859622
2022,4,indie,Coachella,54.31,152324,1427288
2022,5,indie,"No Festival",51.83,70583,582864
2022,6,indie,"Primavera Sound",53.83,97903,923255
2022,7,indie,"No Festival",56.33,274503,3577169
2022,8,indie,"No Festival",56.25,180705,1650818
2022,9,indie,"No Festival",52.73,82041,729370
2022,10,indie,"No Festival",53.38,85244,1113545
2022,11,indie,"No Festival",50.29,57950,505920
2022,12,indie,"Red Bull Batalla",49.00,77501,607492
2023,1,indie,"No Festival",55.32,39045,297238
2023,2,indie,"No Festival",57.37,156732,1704803
2023,3,indie,Lollapalooza,55.43,149541,1692211
2023,4,indie,Coachella,55.94,129623,1107675
2023,5,indie,"No Festival",55.63,76816,764609
2023,6,indie,"Primavera Sound",56.87,166895,1994104
2023,7,indie,"No Festival",59.46,176339,1866765
2023,8,indie,"No Festival",60.72,101760,940365
2023,9,indie,"No Festival",56.06,103210,914971
2023,10,indie,"No Festival",55.16,70175,735607
2023,11,indie,"No Festival",54.96,111684,1145849
2023,12,indie,"Red Bull Batalla",57.23,61412,460340
