track_id,track,artist,artistid,all_artists_names,all_artists_ids,collaboration,album,album_id,track_release_date,track_popularity,track_year,genre_extracted,artist_popularity,artist_followers,artist_genres,album_name,album_type,total_tracks,album_release_date,label,album_artists
5FVbvttjEvQ8r2BgUcJgNg,Life Goes On,BTS,3Nrfpe0tUJi4K4DXYWgMUX,BTS,3Nrfpe0tUJi4K4DXYWgMUX,False,BE,6nYfHQnvkvOTNHnOhDT3sr,2020-11-20,85,2020,pop,89,82094169,k-pop,BE,album,8,2020-11-20,BIGHIT MUSIC,BTS
0G0p7mc4wEaQTsUpzEmkEs,La Bella y la Bestia,Reik,0vR2qb8m9WHeZ5ByCbimq2,"Reik, Morat","0vR2qb8m9WHeZ5ByCbimq2, 5C4PDR4LnhZTbVnKWXuDKD",True,La Bella y la Bestia,71i8oV332P87FwYsKeoAsR,2020-06-11,64,2020,latin,78,9874075,latin pop,La Bella y la Bestia,single,1,2020-06-11,Sony Music México,Reik
6W8Rl6LMWjCL17EvLlkyxc,Te Esperé,Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,"Jesse & Joy, Jesse","1mX1TWKpNxDSAH16LgDfiR, 7JmLfOmqdX5WvJ0NmHP4mV",True,Aire (Versión Día),6ra5IJfLnuwbBm8NhxA2zX,2020-05-08,73,2020,latin,76,9990533,latin pop,Aire (Versión Día),album,14,2020-05-08,WEA Latina,Jesse & Joy
5zNlrLpJFZt3RvRe9A0Hed,Mi Religión,Nil Moliner,6X8uzem5Dbl4l2so4CeexD,Nil Moliner,6X8uzem5Dbl4l2so4CeexD,False,Bailando en la batalla,659edmkQvKqcBjN76GPRcM,2020-02-21,58,2020,pop,61,294713,,Bailando en la batalla,album,14,2020-02-21,WM Spain,Nil Moliner
351dqwRVsCDniedG9soXSf,Un Beso en Madrid,TINI,7vXDAI8JwjW531ouMGbfcp,"TINI, Alejandro Sanz","7vXDAI8JwjW531ouMGbfcp, 5sUrlPAHlS9NEirDB8SEbF",True,TINI TINI TINI,7LP6bUlMdnuqeP2etuw7wI,2020-12-03,62,2020,latin,78,9376865,latin pop,TINI TINI TINI,album,14,2020-12-03,5020 Records,TINI
1Gy9Ofi7nPnNf3kGWPjurm,Echo,Olivia Dean,00x1fYSGhdqScXBRpSj3DW,Olivia Dean,00x1fYSGhdqScXBRpSj3DW,False,Echo,1uKVTPgvFZAUZ4Tb4j1P9F,2020-10-21,80,2020,pop,93,2664723,pop soul,Echo,single,1,2020-10-21,AMF Records,Olivia Dean
1KixkQVDUHggZMU9dUobgm,My Head & My Heart,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,False,Heaven & Hell,26c7MmQ4w8EAvVLb4jilaM,2020-09-18,74,2020,pop,80,7883501,,Heaven & Hell,album,16,2020-09-18,Atlantic Records,Ava Max
63mdJr3NMY3wReOkNE6c6W,People You Know,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,False,Rare,3YPFaTR7WMi1Hd4NVKdCJx,2020-01-10,76,2020,pop,83,53683897,,Rare,album,13,2020-01-10,Interscope Records,Selena Gomez
4SFknyjLcyTLJFPKD2m96o,How You Like That,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,False,THE ALBUM,71O60S5gIJSIAhdnrDIh3N,2020-10-02,76,2020,pop,82,57194978,k-pop,THE ALBUM,album,8,2020-10-02,YG Entertainment/Interscope Records,BLACKPINK
4XPXrcpyNr30Km6aPiflJy,God’s Menu,Stray Kids,2dIgFjalVxs4ThymZ67YCE,Stray Kids,2dIgFjalVxs4ThymZ67YCE,False,GO LIVE,6DWLIzvmiLPAuDWYZqrLQo,2020-06-17,77,2020,pop,87,21969090,"k-pop, noise music",GO LIVE,album,14,2020-06-17,Republic Records - Stray Kids,Stray Kids
1KIZwblKdC0v1ndP3CyLr4,Entre Tú Y Yo,El Duende Callejero,0jRYL7EhQ5whZZyrf9XQa9,El Duende Callejero,0jRYL7EhQ5whZZyrf9XQa9,False,Nuestra Manera De Hablar,4qpUDZWfp6kYpuEDhC8CZC,2020-03-06,49,2020,pop,50,76180,"flamenco, flamenco pop",Nuestra Manera De Hablar,album,13,2020-03-06,Universal Music Spain S.L.,El Duende Callejero
