artist_id,artist_popularity,artist_followers,artist_genres
2I1AeFez28mu7X7Bek4aj5,34,2053,
5tHvjw07aaiv3mZ6qJdKzb,42,70579,mizrahi
3YjZTHCdNUGCIAMMXzcQjV,54,10687,"bossa nova, lounge"
6kaN48HEWGxrGUp01VPT1I,3,1089,
5YgOA27qcu8nSl1lp5ektj,56,222286,
4XPttwv3iZzydK67YRl8tL,41,26263,indie folk
6hG0VsXXlD10l60TqiIHIX,62,364177,"cloud rap, hyperpop"
6icQOAFXDZKsumw3YXyusw,78,11029032,
4nqYfDP6BoiVWj8mqzp2dw,26,4107,epadunk
2L45q9dWxJDnkERlUzbwJe,0,22,
0ZiG3Fe4yVcYjUCZHmAzVQ,52,26676,"flamenco urbano, flamenco, flamenco pop"
5wrZ59w1ndSBlPeUj2f6Fs,43,44553,"k-pop, noise music"
5LeiVcEnsZcwc133TUhJNW,74,2601238,latin pop
4ByxGModIR7nXk4ZaVFdfO,50,142419,"flamenco, flamenco pop"
42BTwvhn9M4KximVSMrioj,0,585,
01QTIT5P1pFP3QnnFSdsJf,70,2010185,
35oGZihZclGoTVuICPXRP9,77,3435739,"reggaeton chileno, chilean mambo, chilean trap, mambo, rkt, reggaeton"
5PYNYuJvINkkQZV6ncScjf,60,95288,"argentine trap, trap"
3b8jXMWK6VSV8FlQ4hbVkd,38,16355,folk pop
5Y3MV9DZ0d87NnVm56qSY1,76,5996450,"argentine trap, urbano latino"
6oYf3YTP3CaTNPlUqAK7xJ,57,47530,bachata
26DvqLYszG0oIOeelTF5kE,46,77038,
1Ex0RYsCnNEBKzFqflx5wF,2,265,
7KL6Xmrib9qHpU1xD9gRPB,47,69627,manele
1yg2sD7pzDOp3J2oQywGRe,32,227,
3OvwaCrQZ9yTmwuQdwHOM1,53,6495,"bossa nova, lounge"
7qmpXeNz2ojlMl2EEfkeLs,64,341580,
0tPKcpC8yXpfdWXFcN7Vwr,64,679764,"grime, uk grime"
7cq0a4di5dOeKU8sicemd1,42,32822,
1hjFlLW9xl3RCn7IWPSmxY,49,72488,"latin indie, mexican indie, latin alternative"
0lcyNugoAomuiHojtRjfoD,0,83,
5czKV8gtDkl6xShocLvhdl,0,5,
44KWGKMiVSL8OAwngHQs7A,6,872,
