artista,genero,año,media_oyentes
Gorillaz,hip-hop,2024,2824456
"Mac Miller",hip-hop,2024,791803
"Flo Rida",hip-hop,2024,725766
"Lil Uzi Vert",hip-hop,2024,671714
"Masked Wolf",hip-hop,2024,524325
Gorillaz,hip-hop,2023,2577763
"Mac Miller",hip-hop,2023,1016963
"Lil Uzi Vert",hip-hop,2023,671714
"Flo Rida",hip-hop,2023,643667
Aminé,hip-hop,2023,620177
"Mac Miller",hip-hop,2022,1016734
Aminé,hip-hop,2022,620177
"Masked Wolf",hip-hop,2022,524325
BTS,hip-hop,2022,465697
"Flo Rida",hip-hop,2022,453254
Gorillaz,hip-hop,2021,3128004
Aminé,hip-hop,2021,620177
"Rae Sremmurd",hip-hop,2021,533102
"Masked Wolf",hip-hop,2021,524325
"Oliver Tree",hip-hop,2021,465697
"Pretty Ricky",hip-hop,2020,177451
"Dean Lewis",hip-hop,2020,36275
Mase,hip-hop,2020,36275
"Gil Scott-Heron",hip-hop,2020,33126
"Theophilus London",hip-hop,2020,31109
Clairo,indie,2024,619605
"The Marías",indie,2024,606219
adore,indie,2024,571502
"Addison Rae",indie,2024,520990
"Charli xcx",indie,2024,456343
"Jordan Rakei",indie,2023,1837885
"Tame Impala",indie,2023,1335926
beabadoobee,indie,2023,895094
"The Verve",indie,2023,837216
Laufey,indie,2023,765186
"Talking Heads",indie,2022,1069423
"Depeche Mode",indie,2022,1017215
Gorillaz,indie,2022,833135
"Tame Impala",indie,2022,833135
"Conan Gray",indie,2022,735668
ALTERVERS,indie,2021,1791765
PinkPantheress,indie,2021,780558
Eyedress,indie,2021,780469
WILLOW,indie,2021,735853
"Conan Gray",indie,2021,735452
"Mazzy Star",indie,2020,2063928
"Lil Sparta",indie,2020,1523383
"Talking Heads",indie,2020,1070501
Eyedress,indie,2020,964526
"De La Rose",indie,2020,866444
Sevdaliza,latin,2024,426035
"Bad Bunny",latin,2024,308928
"Kali Uchis",latin,2024,304213
Tokischa,latin,2024,285829
Rvssian,latin,2024,246359
"The Weeknd",latin,2023,558801
"Travis Scott",latin,2023,558801
"Eslabon Armado",latin,2023,489797
"Marta Santos",latin,2023,374881
Gorillaz,latin,2023,360027
"Sean Paul",latin,2022,884048
"The Weeknd",latin,2022,505984
"Carlos Sadness",latin,2022,471125
"The Marías",latin,2022,467156
Tainy,latin,2022,440576
"Nicki Minaj",latin,2021,465558
"Billie Eilish",latin,2021,281053
ROSALÍA,latin,2021,270427
"Julieta Venegas",latin,2021,236870
Anitta,latin,2021,226712
"Travis Scott",latin,2020,416661
"Eslabon Armado",latin,2020,308187
ROSALÍA,latin,2020,259959
"Dua Lipa",latin,2020,240122
"Black Eyed Peas",latin,2020,223322
"Chappell Roan",pop,2024,1987224
"Marc Seguí",pop,2024,1545955
"Sabrina Carpenter",pop,2024,1150555
"Charli xcx",pop,2024,1129695
"Laza Bossa",pop,2024,1038740
PinkPantheress,pop,2023,1520586
"Chappell Roan",pop,2023,1131788
Marshmello,pop,2023,1006004
RAYE,pop,2023,970881
"Suki Waterhouse",pop,2023,967243
"Kendrick Lamar",pop,2022,1014477
Kublaii,pop,2022,1012431
RAYE,pop,2022,971656
Halsey,pop,2022,871721
"Taylor Swift",pop,2022,865337
"Olivia Rodrigo",pop,2021,1526537
"Doja Cat",pop,2021,981029
"Beluga's Trio",pop,2021,979200
Adele,pop,2021,825159
Coldplay,pop,2021,807141
"Charli xcx",pop,2020,1107974
Kublaii,pop,2020,1012431
"Doja Cat",pop,2020,861600
"Eve St. Jones",pop,2020,734028
"Dua Lipa",pop,2020,729775
