artista,total_macro_generos,mezcla_generos
HIEUTHUHAI,4,"Pop + Indie + Hip-Hop + Otros"
"Hoàng Thùy Linh",4,"Pop + Indie + Hip-Hop + Otros"
"A Kay",3,"Otros + Hip-Hop + Pop"
"Alberto Toral",3,"Otros + Pop + Latin"
Alemán,3,"Otros + Latin + Hip-Hop"
Alkilados,3,"Pop + Otros + Latin"
Alzate,3,"Pop + Otros + Latin"
"Antonio José",3,"Latin + Otros + Pop"
"AP Dhillon",3,"Otros + Hip-Hop + Pop"
"Arthur Nery",3,"Otros + Pop + Indie"
"Avvy Sra",3,"Otros + Hip-Hop + Pop"
bdrmm,3,"Pop + Indie + Otros"
"Big Lois",3,"Otros + Pop + Latin"
"Big One",3,"Hip-Hop + Otros + Latin"
Blur,3,"Indie + Pop + Otros"
"Borja Rubio",3,"Otros + Pop + Latin"
"Cocteau Twins",3,"Pop + Otros + Indie"
Crush,3,"Otros + Pop + Hip-Hop"
"Dani MDR",3,"Otros + Pop + Latin"
"Daniel, Me Estás Matando",3,"Otros + Latin + Indie"
"Daviles de Novelda",3,"Otros + Pop + Latin"
Decai,3,"Otros + Pop + Latin"
"December Avenue",3,"Otros + Pop + Indie"
"Demarco Flamenco",3,"Otros + Pop + Latin"
"Edwin Rosen",3,"Indie + Pop + Otros"
"El Daddy",3,"Otros + Pop + Latin"
"El Jhota",3,"Otros + Pop + Latin"
Eve,3,"Otros + Pop + Indie"
F.HERO,3,"Pop + Otros + Hip-Hop"
Flowtiago,3,"Otros + Pop + Latin"
Fraderita,3,"Otros + Pop + Latin"
"Galvan Real",3,"Otros + Pop + Latin"
"Gregory Alan Isakov",3,"Otros + Pop + Indie"
Haze,3,"Otros + Pop + Latin"
Hitsujibungaku,3,"Otros + Pop + Indie"
"Javi Medina",3,"Otros + Pop + Latin"
JdM,3,"Otros + Pop + Latin"
"Jessi Uribe",3,"Otros + Pop + Latin"
"Joana Santos",3,"Latin + Otros + Pop"
KAESTYLE,3,"Otros + Pop + Hip-Hop"
"Kalita del Sur",3,"Otros + Pop + Latin"
"Karan Aujla",3,"Otros + Hip-Hop + Pop"
"Kike & Manu",3,"Otros + Pop + Latin"
"La Cebolla",3,"Otros + Pop + Latin"
"La Doble M",3,"Otros + Pop + Latin"
"La Llave",3,"Otros + Pop + Latin"
"La Negra Flores",3,"Otros + Pop + Latin"
"La Santa Grifa",3,"Latin + Hip-Hop + Otros"
Ladytron,3,"Indie + Otros + Pop"
"Las Rodes",3,"Otros + Pop + Latin"
Lazaro,3,"Otros + Pop + Hip-Hop"
"León Bravo",3,"Otros + Pop + Latin"
Lérica,3,"Otros + Pop + Latin"
"Lianne La Havas",3,"Indie + Pop + Otros"
Liderj,3,"Otros + Pop + Latin"
"Lil Ghost小鬼",3,"Pop + Hip-Hop + Otros"
"Lin Cortés",3,"Otros + Pop + Latin"
"Luck Ra",3,"Hip-Hop + Otros + Latin"
"Luis Cortés",3,"Otros + Pop + Latin"
"M.I. Abaga",3,"Otros + Pop + Hip-Hop"
MA3IZ,3,"Hip-Hop + Pop + Otros"
Maka,3,"Otros + Pop + Latin"
Maki,3,"Otros + Pop + Latin"
Maná,3,"Pop + Latin + Otros"
"María Cortés",3,"Otros + Pop + Latin"
"Marta Santos",3,"Otros + Pop + Latin"
"Mazzy Star",3,"Pop + Indie + Otros"
MilleniumKid,3,"Indie + Pop + Otros"
Millow,3,"Otros + Pop + Latin"
"Moncho Chavea",3,"Otros + Pop + Latin"
"Nani Cortés",3,"Otros + Pop + Latin"
"Nerea López",3,"Otros + Pop + Latin"
"Nyno Vargas",3,"Otros + Pop + Latin"
"Omar Montes",3,"Otros + Pop + Latin"
"Original Elias",3,"Otros + Pop + Latin"
"Pau Hernandez",3,"Latin + Pop + Otros"
"Paula Díez",3,"Otros + Pop + Latin"
"Pepe y Vizio",3,"Otros + Pop + Latin"
"Pipe Bueno",3,"Pop + Otros + Latin"
Rasel,3,"Otros + Pop + Latin"
"Raul Camacho",3,"Otros + Pop + Latin"
Raule,3,"Otros + Pop + Latin"
"Ruben Delallana",3,"Otros + Pop + Latin"
"Samueliyo Baby",3,"Otros + Pop + Latin"
"Sergio Contreras",3,"Otros + Pop + Latin"
"Shakira Martínez",3,"Latin + Otros + Pop"
Siddhartha,3,"Latin + Indie + Otros"
"Ski Aggu",3,"Hip-Hop + Indie + Pop"
Slowdive,3,"Pop + Indie + Otros"
Soolking,3,"Otros + Hip-Hop + Pop"
Starling8,3,"Pop + Hip-Hop + Otros"
"SunKissed Lola",3,"Otros + Pop + Indie"
Vacra,3,"Otros + Hip-Hop + Pop"
Vaundy,3,"Otros + Pop + Indie"
"Yazmin Lacey",3,"Indie + Pop + Otros"
"Yeison Jimenez",3,"Pop + Otros + Latin"
ZUTOMAYO,3,"Otros + Pop + Indie"
ヨルシカ,3,"Otros + Pop + Indie"
林達浪,3,"Pop + Hip-Hop + Otros"
梨冻紧,3,"Pop + Hip-Hop + Otros"
隊長,3,"Pop + Hip-Hop + Otros"
"100 gecs",2,"Otros + Pop"
"1K Phew",2,"Otros + Hip-Hop"
2hollis,2,"Otros + Pop"
9Lana,2,"Pop + Otros"
"A Flock Of Seagulls",2,"Otros + Pop"
"Abe Linx",2,"Otros + Hip-Hop"
"Adi Oasis",2,"Indie + Otros"
"Aditya Rikhari",2,"Pop + Indie"
Ado,2,"Otros + Pop"
"Adrián Bello",2,"Otros + Latin"
"Agust D",2,"Pop + Hip-Hop"
"Ai Higuchi",2,"Otros + Pop"
Aimer,2,"Otros + Pop"
aldn,2,"Otros + Pop"
"Alejandro Fernández",2,"Otros + Pop"
"Alex Bueno",2,"Latin + Pop"
"Alex C.",2,"Pop + Otros"
"Alex Favela",2,"Otros + Latin"
"All Time Low",2,"Otros + Pop"
Almighty,2,"Latin + Hip-Hop"
"Andy Rivera",2,"Pop + Latin"
Anitta,2,"Otros + Pop"
AnnenMayKantereit,2,"Indie + Pop"
Anoraak,2,"Otros + Pop"
"Antoñito Molina",2,"Otros + Pop"
"Anuv Jain",2,"Indie + Pop"
Anzyeity,2,"Pop + Otros"
Arafat,2,"Otros + Hip-Hop"
Arca,2,"Pop + Otros"
"Arctic Monkeys",2,"Otros + Indie"
"Arroba Nat",2,"Latin + Indie"
ATEEZ,2,"Pop + Otros"
"Aya Nakamura",2,"Otros + Pop"
"Ayra Starr",2,"Otros + Pop"
B.I,2,"Pop + Hip-Hop"
"Babyboy AV",2,"Otros + Pop"
BAEKHYUN,2,"Otros + Pop"
Bandaga,2,"Otros + Latin"
BANDIDO,2,"Hip-Hop + Latin"
"Bear's Den",2,"Pop + Indie"
Beéle,2,"Latin + Pop"
Beirut,2,"Pop + Indie"
Berq,2,"Indie + Pop"
BIBI,2,"Pop + Hip-Hop"
Bizarrap,2,"Hip-Hop + Latin"
Björk,2,"Pop + Otros"
BL@CKBOX,2,"Hip-Hop + Otros"
Bladee,2,"Hip-Hop + Pop"
BLOND:ISH,2,"Otros + Latin"
BM,2,"Otros + Latin"
"Bon Entendeur",2,"Otros + Pop"
Boza,2,"Latin + Pop"
Brainpower,2,"Otros + Pop"
"Bryant Myers",2,"Latin + Hip-Hop"
Brytiago,2,"Latin + Hip-Hop"
"BUBBLE TEA AND CIGARETTES",2,"Pop + Indie"
"BUMP OF CHICKEN",2,"Otros + Pop"
Caamp,2,"Otros + Indie"
"cade clair",2,"Pop + Otros"
Caloncho,2,"Latin + Indie"
Camidoh,2,"Otros + Pop"
Camin,2,"Otros + Latin"
Cano,2,"Otros + Latin"
Carlo5,2,"Indie + Pop"
"Carlos Vives",2,"Pop + Latin"
CASTLEBEAT,2,"Pop + Indie"
Cazzu,2,"Hip-Hop + Latin"
"Cheema Y",2,"Hip-Hop + Pop"
CKay,2,"Otros + Pop"
Clover!,2,"Pop + Otros"
Coez,2,"Otros + Indie"
"Conociendo Rusia",2,"Otros + Latin"
"Cosita Wena",2,"Otros + Pop"
CRIMEAPPLE,2,"Otros + Hip-Hop"
"Cris MJ",2,"Latin + Hip-Hop"
"Da Youngsta's",2,"Otros + Hip-Hop"
"Damas Gratis",2,"Otros + Latin"
"Daniela Spalla",2,"Latin + Indie"
Darius,2,"Otros + Indie"
"David Bisbal",2,"Pop + Otros"
DEKKO,2,"Latin + Pop"
DELLAFUENTE,2,"Otros + Latin"
Dena,2,"Indie + Otros"
DENNIS,2,"Otros + Pop"
"Depeche Mode",2,"Otros + Pop"
Diam's,2,"Otros + Hip-Hop"
"Disco Bahía",2,"Latin + Indie"
"DJ Neptune",2,"Otros + Pop"
"DJ Tunez",2,"Otros + Pop"
Draganov,2,"Hip-Hop + Pop"
"Dromedarios Mágicos",2,"Latin + Indie"
"Drug Store Romeos",2,"Pop + Indie"
Duki,2,"Hip-Hop + Latin"
"Duran Duran",2,"Otros + Pop"
Ecco2k,2,"Hip-Hop + Pop"
"Ed Maverick",2,"Latin + Indie"
"El Arrebato",2,"Otros + Pop"
"El Barrio",2,"Otros + Pop"
"El Cuarteto De Nos",2,"Otros + Latin"
"El Duende Callejero",2,"Otros + Pop"
"El Jordan 23",2,"Latin + Hip-Hop"
"El Punto40",2,"Latin + Hip-Hop"
"Eladio Carrion",2,"Hip-Hop + Latin"
"Ele A El Dominio",2,"Hip-Hop + Latin"
"Elsa y Elmar",2,"Latin + Indie"
emmanuellcortess_,2,"Latin + Otros"
ENNY,2,"Indie + Otros"
"Enrique Iglesias",2,"Latin + Pop"
Esteman,2,"Latin + Indie"
Estopa,2,"Otros + Pop"
"Eugenia Quevedo",2,"Otros + Latin"
"Eugenio Esquivel",2,"Otros + Latin"
"Evangeline Wong",2,"Pop + Otros"
"Eve St. Jones",2,"Otros + Pop"
EVERGLOW,2,"Pop + Otros"
Ezekiel,2,"Otros + Pop"
Fabbio,2,"Otros + Latin"
Far&High,2,"Indie + Otros"
FAVE,2,"Otros + Pop"
"Fireboy DML",2,"Otros + Pop"
"First Aid Kit",2,"Otros + Indie"
"Fleet Foxes",2,"Otros + Indie"
"Fondo Flamenco",2,"Otros + Pop"
"Frah Quintale",2,"Otros + Indie"
"Freak Slug",2,"Pop + Indie"
Fumaratto,2,"Otros + Latin"
G.E.M.,2,"Pop + Otros"
Gee,2,"Otros + Hip-Hop"
GEMN,2,"Otros + Pop"
"Gen Hoshino",2,"Otros + Pop"
"Georgia Anne Muldrow",2,"Indie + Otros"
"Gera MX",2,"Latin + Hip-Hop"
glaive,2,"Otros + Pop"
"Gloria Groove",2,"Otros + Pop"
Gordo,2,"Otros + Latin"
"Grupo Extra",2,"Latin + Otros"
"Grupo Frontera",2,"Otros + Latin"
"Grupo Marca Registrada",2,"Otros + Latin"
Gyakie,2,"Otros + Pop"
Hadrian,2,"Otros + Hip-Hop"
"Harender Nagar",2,"Otros + Pop"
Harriette,2,"Pop + Indie"
"Harry Nach",2,"Latin + Hip-Hop"
Henrik,2,"Otros + Pop"
"Henry Jamison",2,"Pop + Indie"
"Hiatus Kaiyote",2,"Indie + Otros"
"Hikaru Utada",2,"Otros + Pop"
HoneyWorks,2,"Otros + Pop"
HOSHI,2,"Otros + Pop"
HUGEL,2,"Otros + Latin"
"India Martinez",2,"Otros + Pop"
"Isla de Caras",2,"Latin + Indie"
IU,2,"Otros + Pop"
"J Abecia",2,"Otros + Latin"
j-hope,2,"Pop + Hip-Hop"
"Jack J",2,"Otros + Indie"
"Jarabe De Palo",2,"Latin + Otros"
"Jay Chou",2,"Pop + Otros"
"JC el Diamante",2,"Otros + Latin"
"Jelly Roll",2,"Otros + Hip-Hop"
"Jerry Ropero",2,"Otros + Latin"
Jessi,2,"Pop + Hip-Hop"
Jitwam,2,"Indie + Otros"
jnhygs,2,"Pop + Otros"
Joeboy,2,"Otros + Pop"
"Jon Z",2,"Latin + Hip-Hop"
Joost,2,"Pop + Otros"
"Jordan Rakei",2,"Indie + Otros"
"Jorge Drexler",2,"Otros + Latin"
"Jósean Log",2,"Latin + Indie"
"Joshua Burnside",2,"Indie + Otros"
"Juanlu Montoya",2,"Otros + Pop"
"Julianno Sosa",2,"Latin + Hip-Hop"
"Julieta Venegas",2,"Pop + Latin"
"June Freedom",2,"Otros + Pop"
Kaka,2,"Otros + Pop"
Kanaria,2,"Pop + Otros"
