track,artista_principal,reproducciones,popularidad,oyentes
"Wild Flower (with youjeen)",RM,101837701,83,328835
"Seven (feat. Latto) (Explicit Ver.)","Jung Kook",97383675,85,831192
"Boy With Luv (Feat. Halsey)",BTS,75223354,58,871721
"My Universe",Coldplay,57506407,74,807384
"NEURON (with Gaeko & YOON MIRAE)",j-hope,52793126,66,191983
"Smeraldo Garden Marching Band (feat. Loco)",Jimin,28310894,63,182549
"Guess featuring billie eilish","Charli xcx",27915060,79,1501626
"People Pt.2 (feat. IU)","Agust D",27129656,60,303456
APT.,ROSÉ,26084378,85,1303663
"0X1=LOVESONG (I Know I Love You) feat. Seori","TOMORROW X TOGETHER",22310611,70,468233
