año,genero,media_popularidad,media_oyentes,media_reproducciones
2020,hip-hop,0.00,1660,6815
2021,hip-hop,0.00,44952,403040
2022,hip-hop,0.00,77677,628355
2023,hip-hop,0.00,117768,1170554
2024,hip-hop,0.00,400306,4098411
2020,indie,51.29,126955,1299577
2021,indie,53.17,130883,1358831
2022,indie,53.15,107770,1091737
2023,indie,56.34,112122,1149378
2024,indie,58.86,121131,1227956
2020,latin,60.99,51321,471304
2021,latin,60.11,46839,477236
2022,latin,61.36,68800,792471
2023,latin,64.76,69522,775893
2024,latin,65.23,44451,491490
2020,pop,60.86,203280,5029178
2021,pop,60.96,196204,4133849
2022,pop,63.03,189746,5820004
2023,pop,66.70,278981,10507041
2024,pop,69.60,287434,8969863
