track,genero,tags
#BrooklynBloodPop!,indie,tiktokcore
#BrooklynBloodPop!,indie,tiktokcore
#BrooklynBloodPop!,indie,hyperpop
#BrooklynBloodPop!,indie,hyperpop
#BrooklynBloodPop!,indie,electronic
#BrooklynBloodPop!,indie,pop
#BrooklynBloodPop!,indie,pop
#BrooklynBloodPop!,indie,electronic
#BrooklynBloodPop!,indie,alternative
#BrooklynBloodPop!,indie,alternative
"= (Equal Sign)",pop,rap
"= (Equal Sign)",pop,"hip hop"
"= (Equal Sign)",pop,Hip-Hop
"00:00 (Zero O'Clock)",pop,bts
"00:00 (Zero O'Clock)",pop,"min yoongi"
"00:00 (Zero O'Clock)",pop,Korean
"00:00 (Zero O’Clock)",pop,bts
"00:00 (Zero O’Clock)",pop,"vocal line"
"0X1=LOVESONG (I Know I Love You) feat. Seori",pop,txt
"0X1=LOVESONG (I Know I Love You) feat. Seori",pop,soty
1-800-hot-n-fun,pop,"sakura da beatriz"
1-800-hot-n-fun,pop,"1 800 hot n fun hear my ringtone every time 1 800 hot n fun thats my number hit my line"
1-800-hot-n-fun,pop,english
10:35,pop,House
10:35,pop,House
10:35,pop,dance
10:35,pop,"electro house"
10:35,pop,"electro house"
10:35,pop,EDM
10:35,pop,dance
10:35,pop,EDM
10:35,pop,"tech house"
10:35,pop,"tech house"
10:36,indie,rock
10:36,indie,"alternative rock"
10:36,indie,Grunge
"22 (Taylor's Version)",pop,dance
"22 (Taylor's Version)",pop,Disco
"22 (Taylor's Version)",pop,rock
360,pop,"bubblegum bass"
360,pop,"bubblegum bass"
365,pop,"electro house"
365,pop,"acid techno"
365,pop,"bubblegum bass"
"365 featuring shygirl",indie,"hard techno"
"365 featuring shygirl",indie,hyperpop
"365 featuring shygirl",indie,"hard techno"
"365 featuring shygirl",indie,"industrial hip hop"
"365 featuring shygirl",indie,"Belgian Techno"
"365 featuring shygirl",indie,"Belgian Techno"
"365 featuring shygirl",indie,"acid techno"
"365 featuring shygirl",indie,"acid techno"
"365 featuring shygirl",indie,hyperpop
"365 featuring shygirl",indie,"industrial hip hop"
3am,pop,kau
3am,pop,"female vocalists"
3am,pop,acheimagra
3am,pop,sad
"3D (feat. Jack Harlow)",pop,timberlake
"3D (feat. Jack Harlow)",pop,timberlake
"3D (feat. Jack Harlow)",pop,timberlake
"3D (feat. Jack Harlow)",pop,jungkook
"3D (feat. Jack Harlow)",pop,english
"3D (feat. Jack Harlow)",pop,rnb
"3D (feat. Jack Harlow)",pop,rnb
"3D (feat. Jack Harlow)",pop,rnb
"3D (feat. Jack Harlow)",pop,english
"3D (feat. Jack Harlow)",pop,jungkook
"3D (feat. Jack Harlow)",pop,jungkook
"3D (feat. Jack Harlow)",pop,english
"4 Morant (Better Luck Next Time)",indie,"pop rap"
"4 Morant (Better Luck Next Time)",indie,chillsynth
"4 Morant (Better Luck Next Time)",indie,"cloud rap"
"4 Morant (Better Luck Next Time)",indie,"experimental hip-hop"
"4 Morant (Better Luck Next Time)",indie,synthwave
4ÆM,pop,"Drum and bass"
4ÆM,pop,"dancefloor drum and bass"
4K,latin,chickencore
4K,latin,dembow
911,latin,"Lady Gaga"
911,pop,"Lady Gaga"
911,latin,electropop
911,latin,electropop
911,latin,pop
911,latin,dance-pop
911,latin,pop
911,latin,dance-pop
911,latin,"Lady Gaga"
"A Bar Song (Tipsy)",pop,"country rap"
"A Bar Song (Tipsy)",pop,country
"A Bar Song (Tipsy)",pop,"country rap"
