artist_spotify,track_spotify,lastfm_url,listeners,playcount,tags
BTS,Life Goes On,https://www.last.fm/music/BTS/_/Life+Goes+On,533106,95770200,"k-pop, pop, bts, v, life goes on"
Reik,La Bella y la Bestia,https://www.last.fm/music/Reik/_/La+Bella+y+la+Bestia,32192,259738,
Jesse & Joy,Te Esperé,https://www.last.fm/music/Jesse+&+Joy/_/Te+Esper%C3%A9,45586,302571,
Nil Moliner,Mi Religión,https://www.last.fm/music/Nil+Moliner/_/Mi+Religi%C3%B3n,9600,68209,
TINI,Un Beso en Madrid,https://www.last.fm/music/Tini/_/Un+Beso+en+Madrid,24176,204614,
Olivia Dean,Echo,https://www.last.fm/music/Olivia+Dean/_/Echo,153328,792827,"WSUM 91.7 FM Madison, pop soul, i think we re friends now with DJ Toast, indie, contemporary rnb"
Ava Max,My Head & My Heart,https://www.last.fm/music/Ava+Max/_/My+Head+&+My+Heart,303623,2956096,
Selena Gomez,People You Know,https://www.last.fm/music/Selena+Gomez/_/People+You+Know,457311,5707841,"dance-pop, pop, contemporary rnb, electropop, my top songs"
BLACKPINK,How You Like That,https://www.last.fm/music/BLACKPINK/_/How+You+Like+That,856421,27201422,"blackpink in your area, Kpop, k-pop, pop, 2020"
Stray Kids,God’s Menu,https://www.last.fm/music/Stray+Kids/_/God%E2%80%99s+Menu,541678,12717421,"stray kids, k-pop, Kpop, Korean, mala taste"
El Duende Callejero,Entre Tú Y Yo,https://www.last.fm/music/El+Duende+Callejero/_/Entre+T%C3%BA+Y+Yo,1678,8702,
BLACKPINK,Pretty Savage,https://www.last.fm/music/BLACKPINK/_/Pretty+Savage,573541,8775699,"k-pop, pop, trap, 2020, dance"
El Arrebato,Poquito A Poco,https://www.last.fm/music/El+Arrebato/_/Poquito+A+Poco,8805,27018,
Galvan Real,Volverte A Ver,https://www.last.fm/music/Galvan+Real/_/Volverte+A+Ver,927,4988,
Kike & Manu,Nuestra Historia,https://www.last.fm/music/Kike+&+Manu/_/Nuestra+Historia,320,1105,
Lin Cortés,Novia Moderna,https://www.last.fm/music/Lin+Cort%C3%A9s/_/Novia+moderna,2473,11026,
Forest Blakk,If You Love Her,https://www.last.fm/music/Forest+Blakk/_/If+You+Love+Her,150710,1220050,
Jung Kook,Still With You,https://www.last.fm/music/Jung+Kook/_/Still+With+You,546347,21980771,"pop, soul, rnb, bts, Korean"
Galvan Real,Una Aventura,https://www.last.fm/music/Galvan+Real/_/Una+Aventura,828,4363,
Miley Cyrus,Prisoner (feat. Dua Lipa),https://www.last.fm/music/Miley+Cyrus/_/Prisoner+(feat.+Dua+Lipa),632374,6424116,"new wave, rock, pop, synthpop, pop rock"
India Martinez,Convénceme,https://www.last.fm/music/India+Martinez/_/Conv%C3%A9nceme,6359,23516,
Borja Rubio,Todavía,https://www.last.fm/music/Borja+Rubio/_/Todav%C3%ADa,516,2607,
El Duende Callejero,A La Calle,https://www.last.fm/music/El+Duende+Callejero/_/A+La+Calle,1094,5112,
Camilo,El Mismo Aire - con Pablo Alborán,https://www.last.fm/music/Camilo/_/El+Mismo+Aire+-+con+Pablo+Albor%C3%A1n,57594,443774,
Bossa Nova Covers,Dancing In the Moonlight,https://www.last.fm/music/Bossa+Nova+Covers/_/Dancing+In+the+Moonlight,18034,59915,
Miley Cyrus,Midnight Sky,https://www.last.fm/music/Miley+Cyrus/_/Midnight+Sky,665862,11166603,"pop, synthpop, Disco, pop rock, rock"
JdM,Como no te voy a querer,https://www.last.fm/music/JDM/_/Como+no+te+voy+a+querer,396,1505,
Valeria Castro,Deseos de cosas imposibles,https://www.last.fm/music/Valeria+Castro/_/Deseos+de+cosas+imposibles,1332,7538,
David Bisbal,Si Tú La Quieres,https://www.last.fm/music/David+Bisbal/_/Si+T%C3%BA+La+Quieres,22546,161017,
SAULT,Wildfires,https://www.last.fm/music/Sault/_/Wildfires,300378,2057050,
Rasel,Gitana (feat. Sergio Contreras y Demarco Flamenco),https://www.last.fm/music/Rasel/_/Gitana+(feat.+Sergio+Contreras+y+Demarco+Flamenco),1683,6449,
David Bisbal,Si Tú La Quieres,https://www.last.fm/music/David+Bisbal/_/Si+T%C3%BA+La+Quieres,22546,161017,
The Weeknd,Blinding Lights (with ROSALÍA) - Remix,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights+(with+ROSAL%C3%8DA)+-+Remix,92490,447610,
Valeria Castro,Qué bonito,https://www.last.fm/music/Valeria+Castro/_/Qu%C3%A9+bonito,1794,8388,
Black Eyed Peas,GIRL LIKE ME,https://www.last.fm/music/Black+Eyed+Peas/_/GIRL+LIKE+ME,345724,2413960,"pop, dance, rnb, Hip-Hop, pop rap"
Joel Corry,Head & Heart (feat. MNEK),https://www.last.fm/music/Joel+Corry/_/Head+&+Heart+(feat.+MNEK),385252,3231429,
BTS,Dynamite,https://www.last.fm/music/BTS/_/Dynamite,1012431,152034048,"pop, bts, Disco, Kpop, Dynamite"
Dua Lipa,Physical,https://www.last.fm/music/Dua+Lipa/_/Physical,979200,18233446,"pop, synthpop, dance, dance-pop, electropop"
Dua Lipa,Love Again,https://www.last.fm/music/Dua+Lipa/_/Love+Again,804082,11222913,"Disco, pop, nu-disco, dance-pop, boogie"
Abraham Mateo,¿Qué Ha Pasao'?,https://www.last.fm/music/Abraham+Mateo/_/%C2%BFQu%C3%A9+Ha+Pasao%27%3F,24080,170390,
Dua Lipa,Don't Start Now,https://www.last.fm/music/Dua+Lipa/_/Don%27t+Start+Now,1508775,23318102,"Disco, pop, nu-disco, dance-pop, dance"
David Bisbal,A Partir De Hoy,https://www.last.fm/music/David+Bisbal/_/A+Partir+De+Hoy,36210,241657,
Camilo,Tutu,https://www.last.fm/music/Camilo/_/Tutu,82486,564775,
BLACKPINK,Lovesick Girls,https://www.last.fm/music/BLACKPINK/_/Lovesick+Girls,599784,11065366,"electropop, k-pop, dance-pop, pop, dance"
Dua Lipa,Break My Heart,https://www.last.fm/music/Dua+Lipa/_/Break+My+Heart,1095567,14712798,"pop, Disco, dance-pop, dance, nu-disco"
Charli xcx,party 4 u,https://www.last.fm/music/Charli+xcx/_/party+4+u,1107974,18366400,"electropop, bubblegum bass, hyperpop, art pop, alternative rnb"
Camilo,Vida de Rico,https://www.last.fm/music/Camilo/_/Vida+de+Rico,52769,316197,
JAWNY,Honeypie,https://www.last.fm/music/Jawny/_/Honeypie,740497,6456994,"funk, indie, fire, Indie Funk, my top songs"
Diego Torres,Color Esperanza 2020,https://www.last.fm/music/Diego+Torres/_/Color+Esperanza+2020,44024,126279,
Galvan Real,Amigos,https://www.last.fm/music/Galvan+Real/_/Amigos,2091,10605,
Will Paquin,Chandelier,https://www.last.fm/music/Will+Paquin/_/Chandelier,538534,6331355,"indietronica, freak folk, indie folk, folktronica"
VOILÀ,Figure You Out,https://www.last.fm/music/VOIL%C3%80/_/Figure+You+Out,170306,2156436,linedance 2024
Stray Kids,Back Door,https://www.last.fm/music/Stray+Kids/_/Back+Door,354021,6240035,"WSUM 91.7 FM Madison, k-pop, K bops, Contemporary pop, Ya ever look up the lyrics"
Dua Lipa,Pretty Please,https://www.last.fm/music/Dua+Lipa/_/Pretty+Please,589907,8320184,"pop, rnb, glad i rediscovered this, Olivia, dance-pop"
TWICE,I CAN'T STOP ME,https://www.last.fm/music/TWICE/_/I+CAN%27T+STOP+ME,675287,11579647,"k-pop, synthwave, synthpop, Kpop, electropop"
